"ProjectDirectory","Category","Main","ReleaseExperimental","Release2Experimental","Release2Stable","SourceBranch","SourceCommit","SourcePR","SourcePath","Disposition","Validation"
"Samples/Widgets/cpp-win32-packaged/SampleWidgetProviderApp","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/Widgets/cpp-win32-packaged/SampleWidgetProviderApp","Port main #657 toolset import","Passed: x64 Release"
"Samples/Widgets/cpp-win32-packaged/SampleWidgetProviderAppPackage","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Widgets/cs-console-packaged/CsConsoleWidgetProvider","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Windowing/cpp/cpp-win32","Main differs","different","baseline","same","same","main","d3922307","#415","Samples/Windowing/cpp/cpp-win32","Port PR #415 DispatcherQueue and AppWindow refactor; retain baseline package configuration","Blocked: pre-existing duplicate auto-initializer; reproduced on committed baseline"
"Samples/Windowing/cpp/cpp-win32/Windowing","Main differs","different","baseline","same","same","main","d3922307","#415","Samples/Windowing/cpp/cpp-win32/Windowing","Port runtime refactor with Overlapped presenter; omit old package and solution metadata","Blocked: MSB8027/LNK4042 from Foundation 1.8; no new source errors"
"Samples/Windowing/cpp/cpp-winui","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/Windowing/cpp/cpp-winui","Retain baseline: single-project MSIX supersedes main WAP split","Reviewed: no functional migration required"
"Samples/Windowing/cpp/cpp-winui/SampleApp","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/Windowing/cpp/cpp-winui/SampleApp","Retain baseline: single-project MSIX and central package management","Reviewed: source, assets, and manifest behavior retained"
"Samples/Windowing/cpp/cpp-winui/SampleApp (Package)","Main only","branch-only","missing","missing","missing","release/experimental","0d035e00","#579","Samples/Windowing/cpp/cpp-winui/SampleApp (Package)","Omit: superseded by single-project MSIX in release/experimental #579","Reviewed: no functional migration required"
"Samples/Windowing/cs/cs-winforms-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Windowing/cs/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Windowing/cs1/cs-wpf","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Windowing/cs1/cs-wpf/wpf_packaged_app","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Windowing/cs1/cs-wpf/wpf_packaged_app (Package)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsAIFoundry/cpp-console-sparse","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable CMake runtime and documentation normalization","Not run"
"Samples/WindowsAIFoundry/cs-maui","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable documentation normalization","Not run"
"Samples/WindowsAIFoundry/cs-maui/MauiWindowsAISample","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stale experimental comment review","Not run"
"Samples/WindowsAIFoundry/cs-winforms-pckg","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable documentation normalization","Not run"
"Samples/WindowsAIFoundry/cs-winforms-pckg/Packaged","Missing from main","missing","baseline","same","same","","","","","Retain baseline package structure","Not run"
"Samples/WindowsAIFoundry/cs-winforms-pckg/WindowsAISampleForWinForms","Missing from main","missing","baseline","same","same","","","","","Retain baseline source","Not run"
"Samples/WindowsAIFoundry/cs-winforms-sparse","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable sparse runtime and documentation normalization","Not run"
"Samples/WindowsAIFoundry/cs-winforms-sparse/WinForms","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable sparse runtime identity","Not run"
"Samples/WindowsAIFoundry/cs-winui","All variants differ","different","baseline","different","different","release/2.0-stable","5327f5c4","#592; #594; #638","Samples/WindowsAIFoundry/cs-winui","Align with stable 2.1.3; remove ImageForegroundExtractor and VideoScaler","Blocked: pre-existing missing Crossgen2 8.0.30; reproduced on committed baseline"
"Samples/WindowsAIFoundry/cs-wpf","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable documentation normalization","Not run"
"Samples/WindowsAIFoundry/cs-wpf-dotnet","Main missing; release variants differ","missing","baseline","different","different","","","","","Retain later baseline certificate fix; pending stable bootstrap and documentation normalization","Not run"
"Samples/WindowsAIFoundry/cs-wpf-dotnet/WindowsAISampleForWPF","Main missing; release variants differ","missing","baseline","different","different","","","","","Retain baseline project; do not copy older stable branch project file","Not run"
"Samples/WindowsAIFoundry/cs-wpf-sparse","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable sparse runtime and documentation normalization","Not run"
"Samples/WindowsAIFoundry/cs-wpf-sparse/WindowsAISampleForWPF","Missing from main","missing","baseline","same","same","","","","","Retain baseline source; pending stable sparse runtime identity","Not run"
"Samples/WindowsAIFoundry/cs-wpf/WindowsAISampleForWPF","Missing from main","missing","baseline","same","same","","","","","Retain baseline source","Not run"
"Samples/WindowsAIFoundry/cs-wpf/WindowsAISampleForWPFPkg","Missing from main","missing","baseline","same","same","","","","","Retain baseline package structure","Not run"
"Samples/WindowsML","All variants differ","different","baseline","different","different","","","","","Pending review","Not run"
"Samples/WindowsML/cpp-abi","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cpp-cmake/WinMLEpCatalog","Main only","branch-only","missing","missing","missing","","","","","Pending review","Not run"
"Samples/WindowsML/cpp/CppConsoleDesktop","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cpp/CppConsoleDesktop.FrameworkDependent","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cpp/CppConsoleDesktop.GenAI","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cpp/CppConsoleDesktop.SelfContained","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cpp/CppConsoleDll/ConsoleClient","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cpp/CppConsoleDll/WindowsMLWrapper","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cpp/CppResnetBuildDemo/CppResnetBuildDemo","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cs-winforms","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cs-wpf","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cs/CSharpConsoleDesktop/CSharpConsoleDesktop","All variants differ","different","baseline","different","different","","","","","Pending review","Not run"
"Samples/WindowsML/cs/HelloPhi","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/WindowsML/cs/ResnetBuildDemoCS/ResnetBuildDemoCS","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/WinUI/ConditionalPredicate/cpp-winui","Baseline only","missing","baseline","missing","missing","","","","","Pending review","Not run"
